Permit,Short Description,Info Link Title,Info Link,Information ,Business Type(s),Tag(s),Issuing Department(s),Agency Type,Cost Amount,Cost Link Title,Cost Link,Access Online Name,Access Online Link,Form Name 1,Form Link 1,Form Name 2,Form Link 2,Form Name 3,Form Link 3,Form Name 4,Form Link 4,Form Name 5,Form Link 5,Form Name 6,Form Link 6,Form Name 7,Form Link 7,Form Name 8,Form Link 8,Form Name 9,Form Link 9,Form Name 10,Form Link 10,Form Name 11,Form Link 11,Form Name 12,Form Link 12,Form Name 13,Form Link 13,Form Name 14,Form Link 14,Form Name 15,Form Link 15,Form Name 16,Form Link 16
Escrow License,,How to Apply from the Department of Business Oversight,http://www.dbo.ca.gov/Licensees/Escrow_Law/FAQS.asp#HowToApply,"Escrow agents, internet escrow agents and joint control agents licensed pursuant to the Escrow Law are required to be corporations whose main purpose is to provide escrow services. The articles of incorporation must include a clause that states the primary purpose of the corporation is ""to engage"" in business as an escrow agent. The securities of the escrow applicant must also be qualified for issuance pursuant to the Corporate Securities Law or be exempt therefrom. The securities issued by a corporation licensed as an escrow agent must be placed in escrow, and the Commissioner of Business Oversight must approve any transfer or issuance of stock of the escrow company.",,,CA Department of Business Oversight,State,,,,Escrow Forms and Applications,http://www.dbo.ca.gov/Licensees/Escrow_Law/Forms.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Advisor Registration,,How to Apply from the Department of Business Oversight,http://www.dbo.ca.gov/Licensees/Broker-Dealer_and_SEC_Investment_Advisers/State_IA.asp,,,,CA Department of Business Oversight,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Firm License,,,,,,,CA Department of Consumer Affairs - Board of Accountancy,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive Repair Dealer License,,,,,,,CA Department of Consumer Affairs - Bureau of Automotive Repair,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brake and Lamp Station License Applications,,,,,,,CA Department of Consumer Affairs - Bureau of Automotive Repair,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smog Check Station Electronic Certification System,,,,,,,CA Department of Consumer Affairs - Bureau of Automotive Repair,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smog Check Station License,,,,,,,CA Department of Consumer Affairs - Bureau of Automotive Repair,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbering and Cosmetology Establishment License,,,,,,,CA Department of Consumer Affairs - Bureau of Barbering and Cosmetology,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliance Repair License,,,,,,,"CA Department of Consumer Affairs - Bureau of Electronic and Appliance Repair, Home Furnishings and Thermal Insulation",State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Furnishings and Thermal Insulations License,,,,,,,"CA Department of Consumer Affairs - Bureau of Electronic and Appliance Repair, Home Furnishings and Thermal Insulation",State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate License - Branch Office,,,,,,,CA Department of Consumer Affairs - Bureau of Real Estate,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate License - Corporation,,,,,,,CA Department of Consumer Affairs - Bureau of Real Estate,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alarm Company License - Agent,,,,,,,CA Department of Consumer Affairs - Bureau of Security & Investigative Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alarm Company License - Branch Office,,,,,,,CA Department of Consumer Affairs - Bureau of Security & Investigative Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alarm Company License - Operator and Qualified Manager,,,,,,,CA Department of Consumer Affairs - Bureau of Security & Investigative Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alarm Company License - Operator Qualified Manager Certificate,,,,,,,CA Department of Consumer Affairs - Bureau of Security & Investigative Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Patrol License,,,,,,,CA Department of Consumer Affairs - Bureau of Security & Investigative Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Patrol License - Branch Office,,,,,,,CA Department of Consumer Affairs - Bureau of Security & Investigative Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contractors State License Board - Contractor License,Licenses individuals to perform various types of work in the construction industry.,Please visit the Contractors State License Board website,http://www.cslb.ca.gov/,,General Building Contractor*General Engineering Contractor*Specialty Contractor,,CA Department of Consumer Affairs - Contractors State License Board,State,,See CLSB Fee List ,http://www.cslb.ca.gov/GeneralInformation/Library/Fees.asp,Contractor State License Board Forms and Applications Page,http://www.cslb.ca.gov/GeneralInformation/Library/FormsAndApplications.asp#APPQUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed Selling Authorization,,,,,,,CA Department of Food and Agriculture,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assisted Living Waiver Program,,,,,,,CA Department of Healthcare Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medi-Cal/Medicaid Enrollment,,,,,,,CA Department of Healthcare Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garment Manufacturing Registration Certificate,,,,,,,CA Department of Industrial Relations,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talent Agency License,,,,,,,CA Department of Industrial Relations,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insurance Producer/Agency License,,Learn more at the California Department of Insurance website.,http://www.insurance.ca.gov/,,Insurance Agency/Broker,,CA Department of Insurance,State,,Insurance License Fee Schedule,http://www.insurance.ca.gov/0200-industry/0050-renew-license/0600-fees/insurance-license.cfm,,,Business Entity Application for Insurance License,http://www.insurance.ca.gov/0200-industry/0040-seek-producer-forms/0100-broker-agents/upload/LIC441-11BE-5-2014.pdf,Short Form Application for Written Consent to Engage in the Business of Insurance,http://www.insurance.ca.gov/0200-industry/0200-prod-licensing/0100-applicant-info/0600-1033-application/upload/1033AppWrittenConsent.pdf,State of California Live Scan Service Request,http://www.insurance.ca.gov/0200-industry/0050-renew-license/0200-requirements/upload/LIC44239AReqlivescan-3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Motor Vehicles Registration,,,,,,,CA Department of Motor Vehicles,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Motor Vehicles Registration - Taxis,,,,,Taxi Company,,CA Department of Motor Vehicles,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Motor Vehicles Pull-Notice Enrollment,,,,,,,CA Department of Motor Vehicles,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Dealer License,,,,,Auto Dealer,,CA Department of Motor Vehicles,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Manufacturing Cannery License,,,,,Food Manufacturing*Animal Food Manufacturing,,CA Department of Public Health,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Manufacturing Cold Storage or Refrigeration Facility License,,,,,Food Manufacturing*Animal Food Manufacturing,,CA Department of Public Health,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Manufacturing Frozen Food Locker Plant License,,,,,Food Manufacturing*Animal Food Manufacturing,,CA Department of Public Health,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Manufacturing Organic Processed Product License,,,,,Food Manufacturing*Animal Food Manufacturing,,CA Department of Public Health,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Manufacturing Processed Product License,,,,,Food Manufacturing*Animal Food Manufacturing,,CA Department of Public Health,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Manufacturing Shellfish Handling and Marketing License,,,,,Food Manufacturing*Animal Food Manufacturing,,CA Department of Public Health,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Health Agency License,,,,,Home Health Agency,,CA Department of Public Health,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Waste Generator Registration,,,,,,,CA Department of Public Health,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pull-Notice Enrollment,,,,,,,CA Department of Social Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Day Care License,,,,,Adult Day Care,,CA Department of Social Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Care Center License,,,,,Child Care Services,,CA Department of Social Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Care Home License,,,,,Child Care Services,,CA Department of Social Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential Facility License,,,,,,,CA Department of Social Services,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oversize/Overweight Permit,,,,,Commercial Transportation/Trucking*Hazardous Materials Transportation,,CA Department of Transportation,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accidental Release Prevention (ARP) Permit - Issued Through Counties,,,,,,,CA Environmental Protection Agency,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massage Therapy Council License,Allows massage professionals to practice massage therapy throughout the state of California without the need for obtaining multiple permits or paying additional fees. ,Massage Professional Resources from CAMTC,https://www.camtc.org/MassageProfessionals.aspx,"Here is a summary of the nine necessary steps you need to take to complete the Application 
process:
1. Download Application. Download the “CAMTC Application for Certification”.
2. Find Transcripts. Find your School Transcripts.
3. Send Transcripts and Exam Proof. Have Your Official School Transcripts and Proof of 
Passing an Exam Sent Directly to CAMTC. Note: Passing an exam is not a requirement.
4. Send Fingerprints. Get your Live Scan Fingerprints completed in the State of California.
5. Pay Fee. Pay your Application Fee.
6. Get Passport Photo. Get your Passport Photo taken.
7. Include Photocopy of Driver’s License or State ID. Make a good photocopy of your 
Driver’s License or State ID.
8. Sign & Date Application. Complete, sign and date the “CAMTC Application for 
Certification”.
9. Mail Completed Application. Mail your completed Application with supporting 
documentation to the CAMTC.",Massage Establishment,,CA Massage Therapy Council,State,$150,,,,,"CALIFORNIA MASSAGE THERAPY COUNCIL
Application for Certification
",https://www.camtc.org/formdownloads/camtcapplicationflatform.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certificate of Registration as a Limited Liability Partnership,Registers your business as a Limited Liability Partnership,Limited Liability Partnership Filing Tips,http://www.sos.ca.gov/business/be/filing-tips-llp.htm,"The completed form/document, along with the applicable filing fee, can be submitted to our Sacramento office:(1) by mail; (2) dropped off at our public counter along with a separate non–refundable $15 special handling fee; or (3) dropped off at our public counter using our preclearance and/or expedited filing services. The preclearance and/or expedited filing of the document within a guaranteed time frame can be requested for a specified non–refundable fee (in lieu of the special handling fee). See Service Options to determine which service will meet your needs. Check(s) should be made payable to the Secretary of State.

Note! 
You may also have to pay a minimum tax requirement of $800 to the California Franchise Tax Board.",,,CA Secretary of State,State,"Filing Fee: $70
Service Fee: $15",,,,,Application to Register a Limited Liability Partnership (LLP),http://www.sos.ca.gov/business/llp/forms/llp-1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretary of State Employment Agency Surety Bond Certification,Employment agencies must obtain a $3000 bond with the State ito protect any person or persons are by the agency.,See other bond forms from the Secretary of State,http://www.sos.ca.gov/business/sf/forms.htm,"2010 California Code: Civil Code. Chapter 2. Employment Agencies. Section 1812.502

   (a) Every employment agency subject to this title shall maintain a bond issued by a surety company admitted to do business in this state. The principal sum of the bond shall be three thousand dollars ($3,000). A copy of the bond shall be filed with the Secretary of State.
   (b) The bond required by this section shall be in favor of, and payable to, the people of the State of California and shall be conditioned that the person obtaining the bond will comply with this title and will pay all sums due any individual or group of individuals when the person or his or her representative, agent, or employee has received those sums. The bond shall be for the benefit of any person or persons damaged by any violation of this title or by fraud, dishonesty, misstatement, misrepresentation, deceit, unlawful acts or omissions, or failure to provide the services of the employment agency in performance of the contract with the jobseeker, by the employment agency or its agents, representatives, or employees  while acting within the scope of their employment.
   (c) (1) No employment agency shall conduct any business without having a current surety bond in the amount prescribed by this title and filing a copy of the bond with the Secretary of State.

",Employment/Staffing Agency,,CA Secretary of State,State,$30,,,,,Surety Bond - Employment Agency Form,https://www.sos.ca.gov/business/sf/forms/sf-sb-449.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol License - Full Bar,"Allows an establishment to sell most kinds of spirits and alcoholic beverages. Includes beer, wine, and hard liquor.",ABC Website,http://www.abc.ca.gov/,"This is a very complex process, with multiple factors. Please visit the ABC website or call their office for instructions specific to your establishment.",Bar*Alcohol/Beer & Wine Distributor*Alcohol/Beer & Wine Importer*Alcohol/Beer & Wine Wholesaler*Bakery*Cafe or Deli*Corner Store*Restaurant*Winery/Brewery*Nightclub*Bowling Alley*Grocery Market,,California Department of Alcohol Beverage Control,State,,Please contact Alcoholic Beverage Control (ABC) for all applicable fees.,,,,"Statement of Citizenship, Alienage, and Immigration Status for State Public Benefits",http://www.abc.ca.gov/FORMS/ABC069.pdf,Alien Verification Acknowledgement,http://www.abc.ca.gov/FORMS/ABC069A.pdf,Certification Re Chapter 15 Tied-House Restrictions,http://www.abc.ca.gov/FORMS/ABC140.pdf,Declaration of Service by Mail,http://www.abc.ca.gov/FORMS/ABC207F.pdf,"Application Signature Sheet (Sign ON)
",http://www.abc.ca.gov/FORMS/ABC211SIG.pdf,Corporate Questionnaire,http://www.abc.ca.gov/FORMS/ABC243.pdf,Statement Re: Residences,http://www.abc.ca.gov/FORMS/ABC247.pdf,Statement Re: Consideration Points,http://www.abc.ca.gov/FORMS/ABC251.pdf,Licensed Premises Diagram (Retail),http://www.abc.ca.gov/FORMS/ABC257.pdf,Limited Liability Company Questionnaire,http://www.abc.ca.gov/FORMS/ABC256LLC.pdf,Planned Operation (Retail),http://www.abc.ca.gov/FORMS/ABC257_REV.pdf,Individual Personal Affidavit,http://www.abc.ca.gov/FORMS/ABC208B.pdf,Individual Financial Affidavit,http://www.abc.ca.gov/FORMS/ABC208B.pdf,Application Questionnaire,http://www.abc.ca.gov/FORMS/ABC217.pdf,Zoning Affidavit,http://www.abc.ca.gov/FORMS/ABC255.pdf,,
TCP Permit Application for Charter Vehicles - Non-Taxi,"Allows you to charter a vehicle, on a prearranged basis, for the exclusive use of an individual or group.",Review Frequently Asked Questions from the CPUC,http://www.cpuc.ca.gov/PUC/transportation/FAQs/psgfaqs.htm,"A charter-party carrier (TCP) charters a vehicle, on a prearranged basis, for the exclusive use of an individual or group. Charges are based on mileage or time of use, or a combination of both. Also falling under the TCP category are round-trip sightseeing services, and certain specialized services not offered to the general public, such as transportation incidental to another business and transportation under contract to a governmental agency, an industrial or business firm, or a private school.

Note: The application filing fee for a charter-party permit or certificate is $1,000, except for a Class A charter-party certificate, which requires a filing fee of $1,500. The filing fee must accompany your application.

Class A certificate - Charter service between any points in the state; round-trip sightseeing service.
Class B certificate - Charter service between any point within a radius of 125 air miles of the carrier's home terminal to any other point in the state. (Per federal law, the mileage limitation may not apply to transportation provided in vehicles that seat more than ten, including the driver.)
Class C certificate - Transportation services incidental to commercial balloon operations, commercial river rafting or skiing.",Airport Passenger Trasportation*Limousine Services*Tour Company,,California Public Utilities Commission,State,"Application Fee: $1,000",,,,,Full Application Packet - Charter-Party Carrier of Passengers,http://www.cpuc.ca.gov/NR/rdonlyres/2F08EE1C-5A39-4ACF-955D-9AC4E63FA325/0/110210_charterpartyapplication.pdf,PL 739: Application for Charter-party Carrier Authority,http://www.cpuc.ca.gov/NR/rdonlyres/82E4D0EB-FAAC-4F74-825A-2DCFF457EE04/0/PL739CharterpartyApplicationForm.pdf,PL 927: Application to Transfer Charter-part Carrier Authority,ftp://ftp.cpuc.ca.gov/carriers/CharterPartyCarrierTransferPacket.pdf,PL 664 Equipment Statement and CHP Inspection Request ,ftp://ftp.cpuc.ca.gov/static/transportation/pl664equipJune172014.pdf,,,,,,,,,,,,,,,,,,,,,,,,
